followers_count,friends_count,Bot_or_Not
884,1500,0
2070,2579,0
37,54,1
49,22,1
34,0,1
842,336,0
228,182,1
9,0,0
4,0,1
537,0,1
5,0,0
0,0,0
350,0,0
46,9,0
1137,4673,1
548,747,0
786,0,1
459,838,1
3348989,489,0
7486,2461,0
2397,2284,0
1692543,25,0
692,675,0
5,13,1
2647393,912,1
122,343,0
84841,68464,1
373,99,0
126,0,0
851,338,0
68,7,0
173152,271,0
80,0,0
1001788,297,0
305,214,0
75,375,0
1415,2019,1
230,660,1
2,0,1
26714,4501,0
2986802,413,0
3005500,281,0
1585,2644,0
0,0,1
16924267,29,0
15,0,1
877,770,0
755,197,0
914,332,1
17,166,1
115,0,0
1070,1015,0
13,52,1
110,100,0
4,24,1
1295279,70,0
324,463,1
120,24,1
0,0,1
19712,2742,0
43,1,1
620,747,0
436,1710,1
564,632,0
96,1,1
1202,321,1
4,0,1
15,60,1
40,165,0
13,0,1
3538,1110,0
1,20,1
779,0,0
9399,0,0
283437,310783,0
545,527,0
734,2401,0
9,0,1
999,2889,1
14,108,1
23697,909,0
46696,1426,0
37,264,0
116,214,0
1093,172,0
33447,341,0
281968,1381,0
1359,1148,0
293553,520,0
136,249,0
1007,374,0
806543,4,0
1920015,224,0
2487,509,0
933578,318,0
1188,556,0
7,45,1
655,757,0
381,593,0
75,251,0
674,176,0
6,0,0
28,614,0
33931,22509,0
6683,714,0
453,0,1
721656,330,0
16645,2523,0
74302,1493,0
84,606,0
579326,476,0
1084,361,0
132,0,0
29,66,0
75,164,0
1501,488,1
341,370,0
21,157,1
1411,1807,0
714,387,0
4700,703,0
163081,372,0
71,93,0
449,2113,0
18318,15247,0
478,974,1
2,48,1
231,242,0
62,0,1
19,0,1
3351497,4170,0
121,269,0
104,0,1
18587,2874,0
20,542,0
575,329,0
2504,802,0
14,40,1
142624,118717,1
884,0,1
340,527,0
2,0,0
1593,0,0
2009,1988,0
7011,4869,1
1223701,2341,0
8379,3113,0
950,365,0
1358,233,0
881,3100,0
1226,397,1
422,1,1
141137,70411,0
330,332,1
18,149,1
22572,1601,0
2052,8,1
1080,918,0
681,185,0
350,670,0
22,152,1
7399831,30,0
105,201,1
1770014,330,0
280,273,0
8,115,1
1,25,1
3,0,0
599,989,0
105048,79352,1
0,0,0
423,0,0
94,108,0
1598468,188,0
2556480,867,0
60617,8,0
2035,1768,0
2622,373,1
1845,1185,0
158,131,0
61,520,0
5092,983,0
19,67,1
834,824,1
82564,32751,0
295,0,1
3,216,1
886,941,1
204,0,1
2924,4961,0
40,1,1
47,352,0
4140,1052,0
27,28,1
2,0,0
185,36,1
53,213,0
0,23,1
14,188,0
10,0,1
21,44,1
1589475,892,0
63,72,0
1189,905,0
18288,11,0
15,0,1
571,822,0
42,0,1
762,399,0
184,223,0
2,0,1
699544,118,0
35,109,1
972,752,0
318,470,0
50086,739,0
508,439,0
941713,212,0
829,1458,1
75,118,0
226,0,1
15548,686,0
37,6,1
673,672,0
18,236,1
36,201,1
139669,419,0
276,322,0
2,0,1
1382,678,0
8,40,1
2484925,34,0
97644,737,0
120,0,0
405,453,0
515,260,1
355933,8816,0
184933,3759,1
4,28,1
